3 134 23 328 Reported HIV-1 cases axis_title 
355 479 406 496 Years axis_title 
25 18 59 33 1200 tick_label 
25 86 59 100 1000 tick_label 
32 153 59 168 800 tick_label 
33 221 59 235 600 tick_label 
32 289 59 303 400 tick_label 
32 356 59 370 200 tick_label 
49 424 59 438 0 tick_label 
81 441 115 455 2002 tick_label 
134 441 169 455 2003 tick_label 
189 441 224 455 2004 tick_label 
242 441 277 455 2005 tick_label 
297 441 331 455 2006 tick_label 
351 441 386 455 2007 tick_label 
405 441 440 455 2008 tick_label 
459 441 494 455 2009 tick_label 
513 441 548 455 2010 tick_label 
567 441 600 455 2011 tick_label 
621 441 656 455 2012 tick_label 
82 406 100 419 17 value_label 
139 404 156 418 12 value_label 
193 404 209 418 11 value_label 
246 403 264 417 19 value_label 
299 403 317 418 17 value_label 
355 404 372 418 11 value_label 
410 405 426 419 11 value_label 
460 404 479 418 14 value_label 
514 403 533 418 15 value_label 
100 272 128 287 397 value_label 
154 257 183 271 434 value_label 
561 318 588 332 260 value_label 
207 257 234 271 441 value_label 
262 214 290 228 565 value_label 
315 210 343 224 573 value_label 
369 227 397 241 519 value_label 
425 182 453 196 655 value_label 
479 197 507 211 607 value_label 
532 196 560 210 610 value_label 
584 75 611 89 965 value_label 
360 18 404 34 Total legend_label 
360 51 403 67 IDUs legend_label 
616 228 643 242 522 value_label 
637 2 672 16 1180 value_label 
