275 2 488 20 Reduction of Max. Dose chart_title 
215 34 344 52 Ecomp max. dose legend_label 
385 33 562 49 Conventional max. dose legend_label 
0 151 21 232 Dose (Gy) axis_title 
351 357 412 373 Patient axis_title 
31 55 42 69 8 tick_label 
31 88 42 102 7 tick_label 
31 119 42 134 6 tick_label 
31 152 41 167 5 tick_label 
31 184 42 199 4 tick_label 
31 217 41 231 3 tick_label 
31 249 41 264 2 tick_label 
32 282 41 296 1 tick_label 
31 314 42 328 0 tick_label 
71 333 81 347 1 tick_label 
114 334 124 348 2 tick_label 
158 333 167 347 3 tick_label 
202 334 211 348 4 tick_label 
245 333 254 348 5 tick_label 
288 333 299 348 6 tick_label 
332 333 343 348 7 tick_label 
375 333 386 348 8 tick_label 
419 333 430 348 9 tick_label 
459 333 478 348 10 tick_label 
502 333 521 348 11 tick_label 
546 333 565 348 12 tick_label 
590 334 608 348 13 tick_label 
633 333 652 348 14 tick_label 
676 333 695 348 15 tick_label 
